Bandit,Reward,Algorithm
2.0,2.2092018924860577,ThompsonSampling
2.0,2.0583542441858373,ThompsonSampling
2.0,2.0557162244985117,ThompsonSampling
2.0,1.7236690959892689,ThompsonSampling
2.0,2.983558281519871,ThompsonSampling
2.0,3.2078208415869796,ThompsonSampling
2.0,3.1786922223525664,ThompsonSampling
2.0,1.7165860149626566,ThompsonSampling
2.0,0.691980368229296,ThompsonSampling
2.0,2.6926944150635403,ThompsonSampling
2.0,4.121697596974674,ThompsonSampling
2.0,3.9210220767605057,ThompsonSampling
2.0,2.4130427137135744,ThompsonSampling
2.0,1.7767490599019846,ThompsonSampling
2.0,4.57391741503762,ThompsonSampling
2.0,3.426818518287041,ThompsonSampling
2.0,3.0489605661521315,ThompsonSampling
2.0,3.6437521388547522,ThompsonSampling
2.0,2.1922240416100403,ThompsonSampling
2.0,2.605458794059737,ThompsonSampling
2.0,1.7719361355489012,ThompsonSampling
2.0,4.59543757615296,ThompsonSampling
2.0,3.8954555931171395,ThompsonSampling
2.0,1.9934199089813025,ThompsonSampling
2.0,4.21463648194781,ThompsonSampling
2.0,3.1265617821167,ThompsonSampling
2.0,3.4609341499222914,ThompsonSampling
2.0,0.8455400853445272,ThompsonSampling
2.0,5.6047597356539995,ThompsonSampling
2.0,2.229520443584466,ThompsonSampling
2.0,3.777825663513363,ThompsonSampling
2.0,3.123100238277171,ThompsonSampling
2.0,2.974010797063408,ThompsonSampling
2.0,2.394249762501185,ThompsonSampling
2.0,4.645918438724123,ThompsonSampling
2.0,3.6165787123430047,ThompsonSampling
2.0,3.4370320648681165,ThompsonSampling
2.0,2.4396099821826405,ThompsonSampling
2.0,4.150156091700966,ThompsonSampling
2.0,5.070095419663167,ThompsonSampling
2.0,4.392646194927124,ThompsonSampling
2.0,1.672635170579173,ThompsonSampling
2.0,3.20159620295892,ThompsonSampling
2.0,0.8936684129943262,ThompsonSampling
2.0,2.117229574669569,ThompsonSampling
2.0,2.7969033237639067,ThompsonSampling
2.0,2.6908208456469684,ThompsonSampling
2.0,2.343147760563687,ThompsonSampling
2.0,3.0936120938044103,ThompsonSampling
2.0,2.9297399517100233,ThompsonSampling
